City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Havre-Saint-Pierre,CA,2020-05-10 04:08:56,50.23,-63.6,37.4,91,90,5.82
116,Djougou,BJ,2020-05-10 04:08:56,9.71,1.67,78.8,78,23,2.24
117,Tasiilaq,GL,2020-05-10 04:08:56,65.61,-37.64,32.0,86,18,16.11
118,Talnakh,RU,2020-05-10 04:08:08,69.49,88.4,32.0,97,40,20.13
119,Tuatapere,NZ,2020-05-10 03:59:06,-46.13,167.68,61.25,67,94,6.38
120,San Patricio,MX,2020-05-10 04:08:57,19.22,-104.7,73.92,79,0,3.38
121,Bama,NG,2020-05-10 04:08:57,11.52,13.69,78.67,26,17,1.23
122,La Romana,DO,2020-05-10 04:08:57,18.43,-68.97,75.2,94,40,6.73
123,Galesong,ID,2020-05-10 04:08:57,-5.32,119.37,87.8,70,20,6.93
124,Norman Wells,CA,2020-05-10 03:55:15,65.28,-126.83,48.2,45,5,17.22
125,San Miguel,SV,2020-05-10 04:06:53,13.48,-88.18,81.09,76,61,1.77
126,Nautla,MX,2020-05-10 04:08:57,20.22,-96.78,76.73,83,78,8.03
127,Rafai,CF,2020-05-10 04:08:58,4.95,23.92,70.56,89,99,2.66
128,Rocha,UY,2020-05-10 03:59:59,-34.48,-54.33,50.88,84,0,7.99
129,Sungairaya,ID,2020-05-10 04:07:06,0.7,108.9,91.27,56,9,4.03
130,Barrow,US,2020-05-10 04:08:38,71.29,-156.79,30.2,92,1,5.82
131,Kahului,US,2020-05-10 04:08:58,20.89,-156.47,78.8,61,75,16.11
132,Yaan,NG,2020-05-10 03:59:07,7.38,8.57,75.61,87,100,9.35
133,Oyama,JP,2020-05-10 04:08:58,36.3,139.8,69.8,68,75,4.7
134,Palasa,IN,2020-05-10 04:08:59,18.77,84.42,93.49,48,0,12.97
135,Lompoc,US,2020-05-10 03:59:10,34.64,-120.46,59.0,93,90,5.82
136,Chokurdakh,RU,2020-05-10 04:08:59,70.63,147.92,29.84,97,53,9.66
137,Kuryk,KZ,2020-05-10 04:08:59,43.2,51.65,62.85,62,100,10.25
138,Faanui,PF,2020-05-10 04:00:42,-16.48,-151.75,81.81,81,42,17.63
139,Maryville,US,2020-05-10 03:59:23,35.76,-83.97,46.4,65,1,2.44
140,Maceio,BR,2020-05-10 03:59:53,-9.67,-35.74,73.4,94,20,3.36
141,Singaraja,ID,2020-05-10 04:08:59,-8.11,115.09,86.85,64,58,6.2
142,Chuy,UY,2020-05-10 04:09:00,-33.7,-53.46,54.59,82,13,8.21
143,Gejiu,CN,2020-05-10 04:09:00,23.31,103.16,79.16,41,0,7.02
144,Laguna,US,2020-05-10 03:59:58,38.42,-121.42,73.4,46,1,8.05
145,Teguldet,RU,2020-05-10 04:09:00,57.31,88.17,75.88,39,42,3.65
146,Ixtapa,MX,2020-05-10 04:00:31,20.7,-105.2,72.37,60,2,1.63
147,Aleksandrov Gay,RU,2020-05-10 04:09:00,50.15,48.57,53.08,75,0,13.2
148,Saint-Joseph,RE,2020-05-10 04:09:02,-21.37,55.62,68.0,82,20,8.05
149,Esperance,AU,2020-05-10 04:09:02,-33.87,121.9,64.4,42,0,17.22
150,Cidreira,BR,2020-05-10 04:08:40,-30.18,-50.21,62.02,79,0,7.54
151,Callaguip,PH,2020-05-10 04:07:55,18.07,120.49,87.8,70,20,10.29
152,Grand Gaube,MU,2020-05-10 04:09:02,-20.01,57.66,75.0,76,24,3.0
153,Okhtyrka,UA,2020-05-10 04:09:02,50.31,34.9,46.98,84,97,8.05
154,Ahuimanu,US,2020-05-10 04:09:03,21.44,-157.84,86.0,48,40,14.99
155,Pisco,PE,2020-05-10 03:59:03,-13.7,-76.22,66.99,82,25,6.93
156,Ust-Omchug,RU,2020-05-10 03:59:08,61.15,149.63,31.98,94,100,11.41
157,Atuona,PF,2020-05-10 04:07:51,-9.8,-139.03,80.91,78,84,16.55
158,Palana,RU,2020-05-10 04:09:03,59.12,159.97,29.91,100,100,8.21
159,Upernavik,GL,2020-05-10 04:07:33,72.79,-56.15,15.67,94,100,9.66
160,Guangyuan,CN,2020-05-10 04:09:03,32.44,105.82,71.01,41,2,6.64
161,Coihaique,CL,2020-05-10 03:59:12,-45.58,-72.07,41.0,93,90,4.7
162,Polunochnoye,RU,2020-05-10 04:09:04,60.87,60.42,64.81,51,73,4.03
163,Katsuura,JP,2020-05-10 03:59:32,35.13,140.3,72.0,94,90,16.11
164,Zalantun,CN,2020-05-10 03:59:20,48.0,122.72,60.53,53,100,16.98
165,Vila,PT,2020-05-10 04:09:04,42.03,-8.16,54.0,93,40,5.82
166,Camacha,PT,2020-05-10 03:59:15,33.08,-16.33,62.6,77,75,17.22
167,Geraldton,AU,2020-05-10 04:08:19,-28.77,114.6,80.6,21,74,10.29
168,Provideniya,RU,2020-05-10 04:08:39,64.38,-173.3,36.07,91,100,30.04
169,Victoria,HK,2020-05-10 04:07:26,22.29,114.16,90.0,62,20,11.41
170,Bilibino,RU,2020-05-10 04:00:10,68.05,166.44,36.9,80,100,17.36
171,San Lazaro,BZ,2020-05-10 04:09:05,18.04,-88.66,76.86,96,100,2.1
172,Hirado,JP,2020-05-10 04:09:05,33.36,129.55,68.0,77,75,6.93
173,Vice,PE,2020-05-10 04:09:05,-5.42,-80.78,73.31,73,0,13.38
174,Sheridan,US,2020-05-10 04:09:05,44.83,-106.92,39.99,69,1,5.82
175,Severo-Kurilsk,RU,2020-05-10 04:07:13,50.68,156.12,34.81,86,84,17.0
176,Lagoa,PT,2020-05-10 04:09:06,39.05,-27.98,59.11,71,46,28.14
177,Stepanov,CZ,2020-05-10 04:09:06,49.68,17.22,57.0,79,100,6.46
178,Shelby,US,2020-05-10 04:09:06,35.2,-89.87,52.0,81,1,5.39
179,Husavik,IS,2020-05-10 04:09:06,66.04,-17.34,21.2,79,0,14.99
180,Igualada,ES,2020-05-10 04:09:06,41.58,1.62,62.01,87,97,4.0
