City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Atherton,GB,41.0,clear sky,53.52,-2.49,The Mercury Motel
496,Lukovetskiy,RU,53.6,broken clouds,64.3,41.92,Gostinitsa
497,Katima Mulilo,,48.2,broken clouds,-17.5,24.27,Protea Hotel by Marriott Zambezi River Lodge
507,Elliot,ZA,50.11,clear sky,-31.33,27.85,Rose Garden Dinner Bed and Breakfast
511,Xinqing,CN,51.94,overcast clouds,48.23,129.5,
514,Kawambwa,ZM,57.07,broken clouds,-9.79,29.08,"Uphill Country Lodge, Kawambwa"
515,Bogorodskoye,RU,56.55,scattered clouds,56.55,37.88,Sosnoviy Bor
519,Izhma,RU,53.1,few clouds,65.01,53.91,
520,Baykit,RU,55.71,clear sky,61.67,96.37,Gostinitsa
524,Emba,KZ,57.13,clear sky,48.83,58.14,
526,Bar Harbor,US,45.0,moderate rain,44.39,-68.2,Atlantic Oceanside Hotel & Event Center
528,Dobric,RS,54.0,few clouds,44.7,19.58,Stari lipolist
529,Ola,RU,40.26,broken clouds,59.58,151.28,
530,Koslan,RU,52.48,overcast clouds,63.46,48.9,
532,Kurilsk,RU,46.99,broken clouds,45.23,147.88,Guest House on Kooperativnaya
535,Warragul,AU,59.0,overcast clouds,-38.17,145.93,Comfort Inn & Suites Warragul
538,Laurel,US,48.2,overcast clouds,39.1,-76.85,Days Inn & Suites by Wyndham Laurel Near Fort Meade
539,Viedma,AR,51.49,overcast clouds,-40.81,-63.0,Hotel Cristal
542,Wangaratta,AU,57.0,overcast clouds,-36.37,146.33,Quality Hotel Wangaratta Gateway
550,Gannan,CN,57.81,few clouds,47.91,123.5,Gannan Supply and Marketing Cooperatives Hostel
551,Narsaq,GL,50.0,overcast clouds,60.92,-46.05,Hotel Narsaq
552,Kukes,AL,56.01,clear sky,42.08,20.42,Hotel ''LUMA''
557,Oktyabrskoye,RU,51.8,clear sky,43.06,44.74,Prolesok Mini-hotel
571,Paamiut,GL,42.58,overcast clouds,61.99,-49.67,Yeet Hotel
572,Nantucket,US,48.2,clear sky,41.28,-70.1,Jared Coffin House
573,Krasnoarmeysk,RU,54.0,clear sky,51.02,45.7,Gostinitsa Komfort
574,La Esperanza,GT,55.99,light rain,14.87,-91.57,Hotel Imperio Inn
575,Bose,IT,53.01,overcast clouds,45.46,8.01,Locanda Borgo Antico
576,Tres Arroyos,AR,47.52,overcast clouds,-38.37,-60.28,Habitacion Triple con baño y entrada privada
579,Zambezi,ZM,56.7,broken clouds,-13.54,23.1,Royal Kutachika Lodge
581,Slave Lake,CA,46.4,few clouds,55.28,-114.77,Super 8 by Wyndham Slave Lake AB
